32 5.530000e+003 7.900000e+002 4.740000e+003 1.580000e+003 2.107000e+003 1.581000e+003 1.632800e+004
64 1.185200e+004 1.054000e+003 9.744000e+003 4.478000e+003 6.585000e+003 5.268000e+003 3.898100e+004
128 1.185200e+004 2.371000e+003 2.133200e+004 2.502000e+004 2.502000e+004 1.869900e+004 1.042940e+005
256 1.896200e+004 3.687000e+003 4.371900e+004 9.138900e+004 8.348800e+004 7.216300e+004 3.134080e+005
512 1.685500e+004 6.584000e+003 9.402200e+004 3.663450e+005 3.205190e+005 2.894420e+005 1.093767e+006
1024 1.527500e+004 1.343200e+004 2.056910e+005 1.474337e+006 1.322373e+006 1.255477e+006 4.286585e+006
2048 1.632900e+004 3.397500e+004 4.385090e+005 5.972670e+006 6.133588e+006 5.563658e+006 1.815873e+007
4096 2.449300e+004 6.663300e+004 9.686690e+005 2.553673e+007 2.388357e+007 2.188592e+007 7.236601e+007
8192 2.607300e+004 1.522270e+005 1.985798e+006 1.052594e+008 9.629146e+007 8.781152e+007 2.915265e+008
16384 2.949700e+004 3.005030e+005 4.299227e+006 4.221931e+008 3.857897e+008 3.501773e+008 1.162789e+009
32768 5.899500e+004 6.065370e+005 9.188925e+006 1.682810e+009 1.553044e+009 1.415267e+009 4.660976e+009
