32 3.687000e+003 4.508810e+005 4.741000e+003 5.530000e+003 7.374000e+003 4.478000e+003 4.766910e+005
64 7.111000e+003 3.910970e+005 1.027100e+004 1.922600e+004 2.923400e+004 1.790900e+004 4.748480e+005
128 7.901000e+003 2.139051e+006 2.344000e+004 9.402100e+004 1.206210e+005 6.926500e+004 2.454299e+006
256 1.264100e+004 1.799837e+006 5.109300e+004 3.294700e+005 4.864350e+005 2.696860e+005 2.949162e+006
512 2.265000e+004 3.171706e+006 1.066630e+005 1.303130e+006 1.971288e+006 9.786650e+005 7.554102e+006
1024 2.080600e+004 6.390817e+006 2.304440e+005 5.276782e+006 8.953885e+006 4.153004e+006 2.502574e+007
2048 1.474800e+004 1.296204e+007 4.935460e+005 2.207737e+007 3.630988e+007 1.793068e+007 8.978826e+007
4096 1.369500e+004 2.639339e+007 1.092702e+006 9.317566e+007 1.412819e+008 6.664874e+007 3.286061e+008
8192 1.975200e+004 5.265958e+007 3.265463e+006 3.734335e+008 5.677750e+008 2.699084e+008 1.267062e+009
16384 2.449300e+004 1.130381e+008 5.308912e+006 1.529171e+009 2.321924e+009 1.077608e+009 5.047074e+009
32768 3.976800e+004 2.246235e+008 1.199444e+007 6.040546e+009 8.988785e+009 4.402299e+009 1.966829e+010
