32 5.238000e+03 5.100000e+02 3.147000e+03 1.593000e+03 1.764000e+03 1.747000e+03 1.399900e+04
64 4.598000e+03 8.270000e+02 5.138000e+03 5.623000e+03 4.569000e+03 5.976000e+03 2.673100e+04
128 4.127000e+03 1.585000e+03 1.034100e+04 1.732200e+04 1.682900e+04 2.339500e+04 7.359900e+04
256 7.153000e+03 3.100000e+03 2.061500e+04 8.758700e+04 4.737600e+04 9.599700e+04 2.618280e+05
512 6.129000e+03 6.166000e+03 4.393000e+04 3.413640e+05 2.365250e+05 3.874230e+05 1.021537e+06
1024 8.083000e+03 1.009900e+04 7.572300e+04 1.111073e+06 7.345250e+05 1.243916e+06 3.183419e+06
2048 1.887000e+04 3.955800e+04 1.471500e+05 3.553744e+06 2.340211e+06 4.881201e+06 1.098073e+07
4096 1.572300e+04 3.792000e+04 3.229760e+05 1.398640e+07 8.574206e+06 1.923172e+07 4.216894e+07
8192 1.432800e+04 9.430700e+04 6.695590e+05 5.316956e+07 3.850043e+07 7.590581e+07 1.683540e+08
16384 3.989700e+04 1.618430e+05 1.404327e+06 2.130596e+08 1.448605e+08 2.979535e+08 6.574796e+08
32768 4.147300e+04 3.035290e+05 2.929998e+06 8.504633e+08 6.304720e+08 1.186528e+09 2.670739e+09
