32 3.628000e+03 6.440000e+02 3.764000e+03 9.816000e+03 5.099000e+03 2.156800e+04 4.451900e+04
64 2.448000e+03 1.049000e+03 8.594000e+03 3.931600e+04 2.387100e+04 4.146900e+04 1.167470e+05
128 4.387000e+03 2.068000e+03 1.945600e+04 1.640490e+05 1.158300e+05 1.795880e+05 4.853780e+05
256 4.405000e+03 3.726000e+03 3.371000e+04 5.834980e+05 3.583070e+05 4.836270e+05 1.467273e+06
512 3.601000e+03 6.585000e+03 6.942400e+04 2.000213e+06 1.143019e+06 1.774830e+06 4.997672e+06
1024 1.691200e+04 2.263400e+04 1.511990e+05 7.410118e+06 4.347755e+06 6.496446e+06 1.844506e+07
2048 2.960500e+04 2.580800e+04 3.114210e+05 2.913323e+07 1.684925e+07 2.535527e+07 7.170458e+07
4096 2.164800e+04 8.157000e+04 5.964420e+05 1.139292e+08 6.527692e+07 1.004818e+08 2.803876e+08
8192 2.098300e+04 1.424840e+05 1.252521e+06 4.526226e+08 2.625598e+08 3.884310e+08 1.105029e+09
16384 2.307800e+04 2.464180e+05 2.686115e+06 1.810994e+09 1.075064e+09 1.804403e+09 4.693416e+09
32768 2.053300e+04 6.001320e+05 7.352901e+06 7.351210e+09 8.726769e+09 6.247989e+09 2.233394e+10
