32 4.932830e+005 6.321000e+003 3.107700e+004 4.214000e+003 1.553800e+004 5.504330e+005
64 3.858300e+005 1.237800e+004 1.301020e+005 2.054200e+004 7.031900e+004 6.191710e+005
128 8.280200e+005 2.765300e+004 4.548310e+005 8.217000e+004 2.767970e+005 1.669471e+006
256 1.536998e+006 5.767700e+004 1.702655e+006 3.378970e+005 1.105080e+006 4.740307e+006
512 3.061356e+006 1.224640e+005 7.444013e+006 1.311294e+006 3.763487e+006 1.570261e+007
1024 6.217786e+006 2.609950e+005 2.680740e+007 5.492478e+006 1.555039e+007 5.432905e+007
2048 1.238606e+007 5.659720e+005 1.037453e+008 2.247715e+007 5.973067e+007 1.989051e+008
4096 2.490696e+007 1.206739e+006 4.422824e+008 9.058230e+007 2.361278e+008 7.951062e+008
8192 4.954476e+007 2.636811e+006 1.792379e+009 4.038060e+008 9.473020e+008 3.195669e+009
16384 1.025341e+008 5.486947e+006 7.132837e+009 1.680953e+009 3.769651e+009 1.269146e+010
32768 1.993613e+008 1.178243e+007 2.799044e+010 6.617522e+009 1.497128e+010 4.979039e+010
